molecule,gwh,core,sad,sadno,huckel,gsz,lda-x,cap-x,cha-x,table_id,type_name,method,base,benchmark_metric,inchi,smi,organic,functional_group
ch,0.501,0.557,0.739,0.877,0.937,0.862,0.851,0.868,0.843,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH/h1H
","[CH]	molecule ""ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
cch,0.504,0.693,0.833,0.962,0.945,0.931,0.966,0.965,0.966,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/C2H/c1-2/h1H
","[C]#C	molecule ""cch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkyne
ch2ch,0.493,0.603,0.856,0.96,0.96,0.934,0.968,0.968,0.969,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/C2H3/c1-2/h1H,2H2
","[CH]=C	molecule ""ch2ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
Ti(BH4)3,0.608,0.614,0.897,0.972,0.924,0.809,0.959,0.963,0.967,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/3BH4.Ti/h3*1H4;
","[Ti].[BH4].[BH4].[BH4]	molecule ""Ti(BH4)3"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Unknown
cyclopropyl,0.515,0.576,0.88,0.97,0.973,0.929,0.968,0.967,0.97,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2
","C1C[CH]1	molecule ""cyclopropyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
bn3pi,0.568,0.643,0.789,0.9,0.901,0.97,0.973,0.907,0.938,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/BN/c1-2
","B#N	molecule ""bn3pi"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",inorganic,Unknown
cn,0.532,0.674,0.829,0.959,0.944,0.962,0.974,0.973,0.973,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CN/c1-2
","[C]#N	molecule ""cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
allyl,0.475,0.598,0.874,0.971,0.974,0.933,0.968,0.967,0.969,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2
","C=C[CH2]	molecule ""allyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
Cu(acac)2,0.575,0.641,0.896,0.954,0.974,0.926,0.94,0.925,0.954,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/2C5H8O2.Cu/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
","C1=C(O[Cu@]2(O[C]1C)O[C](C=C(O2)C)C)C	molecule ""Cu(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Alkene
cf,0.583,0.68,0.874,0.942,0.976,0.943,0.954,0.966,0.946,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CF/c1-2
","[C]F	molecule ""cf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
h2cn,0.494,0.616,0.853,0.957,0.959,0.942,0.976,0.975,0.976,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH2N/c1-2/h1H2
","C=[N]	molecule ""h2cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
ch3nh,0.474,0.604,0.867,0.957,0.964,0.934,0.976,0.975,0.977,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH4N/c1-2/h2H,1H3
","C[NH]	molecule ""ch3nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
t-hooo,0.516,0.657,0.889,0.959,0.967,0.94,0.977,0.977,0.977,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""t-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
ch2nh2,0.477,0.624,0.876,0.97,0.974,0.946,0.979,0.978,0.979,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH4N/c1-2/h1-2H2
","[CH2]N	molecule ""ch2nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
h2ccn,0.527,0.615,0.866,0.967,0.967,0.898,0.978,0.978,0.98,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/C2H2N/c1-2-3/h1H2
","[CH2]C#N	molecule ""h2ccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Nitrile
ch3,0.458,0.661,0.849,0.969,0.974,0.941,0.98,0.979,0.98,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH3/h1H3
","[CH3]	molecule ""ch3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
V(NMe2)4,0.511,0.574,0.893,0.974,0.981,0.839,0.957,0.969,0.948,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/4C2H6N.V/c4*1-3-2;/h4*1-2H3;/q4*-1;+4
","[V](N(C)C)(N(C)C)(N(C)C)N(C)C	molecule ""V(NMe2)4"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Amine
clo,0.676,0.777,0.939,0.982,0.964,0.956,0.963,0.972,0.982,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/ClO/c1-2
","Cl[O]	molecule ""clo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
hcnh,0.508,0.634,0.86,0.97,0.965,0.963,0.983,0.982,0.983,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH2N/c1-2/h1-2H
","[CH]=N	molecule ""hcnh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
c-hooo,0.517,0.655,0.892,0.964,0.972,0.955,0.986,0.985,0.985,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""c-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
sif,0.702,0.782,0.909,0.986,0.95,0.962,0.981,0.97,0.974,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/FSi/c1-2
","F[Si]	molecule ""sif"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,Unknown
n2h,0.524,0.598,0.859,0.969,0.967,0.971,0.988,0.988,0.988,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/HN2/c1-2/h1H
","N=[N]	molecule ""n2h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
ch2-trip,0.51,0.693,0.803,0.973,0.975,0.968,0.99,0.99,0.99,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/CH2/h1H2
","[CH2]	molecule ""ch2-trip"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
no2,0.546,0.644,0.9,0.975,0.977,0.983,0.991,0.991,0.991,6, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,"InChI=1S/NO2/c2-1-3
","N(=O)[O]	molecule ""no2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
