molecule,functional_group,smi,inchi
ch,(Fallback) Organic,"[CH]	molecule ""ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH/h1H
"
cch,Alkyne,"[C]#C	molecule ""cch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/C2H/c1-2/h1H
"
ch2ch,Alkene,"[CH]=C	molecule ""ch2ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/C2H3/c1-2/h1H,2H2
"
Ti(BH4)3,(Fallback) Inorganic,"[Ti].[BH4].[BH4].[BH4]	molecule ""Ti(BH4)3"" dataset ""Bühl 2006"" charge 0 multiplicity 2
","InChI=1S/3BH4.Ti/h3*1H4;
"
cyclopropyl,(Fallback) Organic,"C1C[CH]1	molecule ""cyclopropyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2
"
bn3pi,(Fallback) Inorganic,"B#N	molecule ""bn3pi"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/BN/c1-2
"
cn,(Fallback) Organic,"[C]#N	molecule ""cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CN/c1-2
"
allyl,Alkene,"C=C[CH2]	molecule ""allyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/C3H5/c1-3-2/h3H,1-2H2
"
Cu(acac)2,Alkene,"C1=C(O[Cu@]2(O[C]1C)O[C](C=C(O2)C)C)C	molecule ""Cu(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 2
","InChI=1S/2C5H8O2.Cu/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
"
cf,(Fallback) Organic,"[C]F	molecule ""cf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CF/c1-2
"
h2cn,(Fallback) Organic,"C=[N]	molecule ""h2cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH2N/c1-2/h1H2
"
ch3nh,(Fallback) Organic,"C[NH]	molecule ""ch3nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH4N/c1-2/h2H,1H3
"
t-hooo,(Fallback) Inorganic,"[O]OO	molecule ""t-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HO3/c1-3-2/h1H
"
ch2nh2,Amine,"[CH2]N	molecule ""ch2nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH4N/c1-2/h1-2H2
"
h2ccn,Nitrile,"[CH2]C#N	molecule ""h2ccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/C2H2N/c1-2-3/h1H2
"
ch3,(Fallback) Organic,"[CH3]	molecule ""ch3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH3/h1H3
"
V(NMe2)4,Amine,"[V](N(C)C)(N(C)C)(N(C)C)N(C)C	molecule ""V(NMe2)4"" dataset ""Bühl 2006"" charge 0 multiplicity 2
","InChI=1S/4C2H6N.V/c4*1-3-2;/h4*1-2H3;/q4*-1;+4
"
