table_id,molecule,type_name,method,base,benchmark_metric,minao,1e,atom,huckel,vsap,time,inchi,smi,organic,functional_group
6,ch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8068097327431905,0.5630668331005989,0.8101603027401897,0.8414595335223451,0.8068097327431905,0.2863192558288574,"InChI=1S/CH/h1H
","[CH]	molecule ""ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,cch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8465520735520021,0.6927708735888243,0.8543082245526418,0.8775772145847701,0.8465520735520021,0.4532470703125,"InChI=1S/C2H/c1-2/h1H
","[C]#C	molecule ""cch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkyne
6,ch2ch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8711319710288293,0.602965089790621,0.8792838932885421,0.9400770419202308,0.8711319710288293,0.2085444927215576,"InChI=1S/C2H3/c1-2/h1H,2H2
","[CH]=C	molecule ""ch2ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
6,Ti(BH4)3, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9036741582845718,0.6141867951476467,0.9121754805463288,0.9463330232340113,0.9036741582845718,1.805600881576538,"InChI=1S/3BH4.Ti/h3*1H4;
","[Ti].[BH4].[BH4].[BH4]	molecule ""Ti(BH4)3"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Unknown
6,cyclopropyl, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8853434673355463,0.576337560757197,0.8958502860760312,0.9412477980128412,0.8853434673355463,0.3712337017059326,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2
","C1C[CH]1	molecule ""cyclopropyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,bn3pi, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8293870247574185,0.6425620343349496,0.8332139519065522,0.8952423927801526,0.8293870247574185,0.1999754905700683,"InChI=1S/BN/c1-2
","B#N	molecule ""bn3pi"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",inorganic,Unknown
6,cn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8437755577026298,0.6743605101239121,0.8508148591301811,0.8441697457795815,0.8437755577026298,0.2043917179107666,"InChI=1S/CN/c1-2
","[C]#N	molecule ""cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,allyl, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8848272970016609,0.5978176297980207,0.8939138199191865,0.9468345745827212,0.8848272970016609,0.3464374542236328,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2
","C=C[CH2]	molecule ""allyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
6,Cu(acac)2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,,,,,,,"InChI=1S/2C5H8O2.Cu/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
","C1=C(O[Cu@]2(O[C]1C)O[C](C=C(O2)C)C)C	molecule ""Cu(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Alkene
6,cf, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9043808261675358,0.6785402281983791,0.9088006887779336,0.986520366899682,0.9043808261675358,0.1842210292816162,"InChI=1S/CF/c1-2
","[C]F	molecule ""cf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,h2cn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8702007487714515,0.6158306091094091,0.8774399217879881,0.9332937220624232,0.8702007487714515,0.2290279865264892,"InChI=1S/CH2N/c1-2/h1H2
","C=[N]	molecule ""h2cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,ch3nh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8772253403370496,0.6038566451040586,0.8851005477709802,0.9586656591105864,0.8772253403370496,0.2323718070983886,"InChI=1S/CH4N/c1-2/h2H,1H3
","C[NH]	molecule ""ch3nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
