table_id,molecule,type_name,method,base,benchmark_metric,minao,1e,atom,huckel,vsap,time
6,ch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8068097327431905,0.5630668331005989,0.8101603027401897,0.8414595335223451,0.8068097327431905,0.2863192558288574
6,cch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8465520735520021,0.6927708735888243,0.8543082245526418,0.8775772145847701,0.8465520735520021,0.4532470703125
6,ch2ch, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8711319710288293,0.602965089790621,0.8792838932885421,0.9400770419202307,0.8711319710288293,0.20854449272155762
6,Ti(BH4)3, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9036741582845718,0.6141867951476467,0.9121754805463287,0.9463330232340111,0.9036741582845718,1.805600881576538
6,cyclopropyl, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8853434673355463,0.576337560757197,0.8958502860760312,0.9412477980128411,0.8853434673355463,0.3712337017059326
6,bn3pi, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8293870247574185,0.6425620343349496,0.8332139519065522,0.8952423927801526,0.8293870247574185,0.19997549057006836
6,cn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8437755577026298,0.6743605101239121,0.8508148591301811,0.8441697457795815,0.8437755577026298,0.2043917179107666
6,allyl, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8848272970016609,0.5978176297980207,0.8939138199191865,0.9468345745827211,0.8848272970016609,0.3464374542236328
6,Cu(acac)2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,,,,,,
6,cf, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9043808261675358,0.6785402281983791,0.9088006887779335,0.9865203668996819,0.9043808261675358,0.1842210292816162
6,h2cn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8702007487714515,0.6158306091094091,0.8774399217879881,0.9332937220624233,0.8702007487714515,0.22902798652648926
6,ch3nh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8772253403370496,0.6038566451040586,0.8851005477709802,0.9586656591105864,0.8772253403370496,0.23237180709838867
6,t-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8934581614487688,0.6571407378106923,0.900342524925438,0.9734734051866263,0.8934581614487688,0.28896164894104004
6,ch2nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.884363084871067,0.6242763647106178,0.891789261886454,0.9622292041746732,0.884363084871067,0.23144149780273438
6,h2ccn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8794169331443507,0.6150932680576862,0.888023921490361,0.9246025862258258,0.8794169331443507,0.2546560764312744
6,ch3, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8675825642085001,0.6614990334383726,0.8732556806698173,0.9529746822386268,0.8675825642085001,0.17415857315063477
6,V(NMe2)4, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.894407638533727,0.573592810201566,0.9042885415536703,0.9567181149451044,0.894407638533727,17.919685125350952
6,clo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9395937769392282,0.7756744285925199,0.9437641631466851,0.959630279364195,0.9395937769392282,0.20244836807250977
6,hcnh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8740805210928917,0.6344704138004905,0.881655916533884,0.9385454002854566,0.8740805210928917,0.22015619277954102
6,c-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8959553915436682,0.6540560579235769,0.9037454605627245,0.9810404729221875,0.8959553915436682,0.2905583381652832
6,sif, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.934359216032722,0.7903146094073794,0.935650271275475,0.9525204731449473,0.934359216032722,0.20639848709106445
6,n2h, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8731750965987922,0.5979160139627546,0.8812249517850108,0.8832114153946615,0.8731750965987922,0.19163274765014648
6,ch2-trip, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8342313920594804,0.6934417790192419,0.8386042155111417,0.9602691609079904,0.8342313920594804,0.1718449592590332
6,no2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9027049581648158,0.6441807308102893,0.9108073122576404,0.9281148202549067,0.9027049581648158,0.2956550121307373
6,h2no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8926497701804736,0.6529751114739923,0.899587905611401,0.9493763916743205,0.8926497701804736,0.2172987461090088
6,nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8565209182966518,0.6107004120615837,0.8599192471788096,0.9854156117563085,0.8565209182966518,0.17183279991149902
6,so, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9273698789395302,0.7606558304597645,0.9300513204497991,0.9892359023898556,0.9273698789395302,0.2048494815826416
6,hco, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8902505056153474,0.6630715729772402,0.894821999788008,0.9443956114585534,0.8902505056153474,0.2149806022644043
6,hoo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8919539999358267,0.6553094738613452,0.8986639017915375,0.9828162470596361,0.8919539999358267,0.18608450889587402
6,no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8860205014775296,0.6572624483517288,0.8923692813040878,0.9384371904425541,0.8860205014775296,0.20508766174316406
6,ssh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9492548981747015,0.7797407839560639,0.9524943260864429,0.9919299468743212,0.9492548981747015,0.21786952018737793
6,oh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8708325496251142,0.6607169539444232,0.8719775962704557,0.9870673064148967,0.8708325496251142,0.1769394874572754
6,nh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8235719843756153,0.6550617591781627,0.8258821674987383,0.9916676343802557,0.8235719843756153,0.1740572452545166
6,sih, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9128452687832241,0.7268549248753693,0.9157091242962582,0.9310788331425229,0.9128452687832241,0.18015193939208984
6,o2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8933920851805166,0.6803521105864829,0.9003058307413284,0.996254478708642,0.8933920851805166,0.16329669952392578
