stress: info: [3244870] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244836] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244875] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244936] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244843] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244846] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244923] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244908] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244926] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244884] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244901] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244868] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244851] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244860] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244856] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244866] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244891] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244876] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244951] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244910] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244834] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244916] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244877] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244893] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244861] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244864] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244895] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244885] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244930] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244835] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244919] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244858] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244889] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244839] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244853] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244837] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244934] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244832] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244943] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244863] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244867] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244892] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244850] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244845] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244953] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244921] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
